INSERT INTO User (uid, email, password, type, version) VALUES (0, 'vtwlobzfbisueub@hsak.org', 'wsIBKs_Sr', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (1, 'lgyvpfg@rbonj.com', 'f4LvJ0', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (2, 'aqsuivxsjkratzj@sihybafbk.net', '9jlRcCSeZ28YES9', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (3, 'ukbfrfrpjanxaf@etthdmonnvsli.net', 'EJdEDwbOGwkmq', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (4, 'cbznzxus@rypvwrj.org', 'okU5pX1e4PZ5xtQ', 1, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (5, 'wcqwpcibfzd@nihebsvnahkdjyk.net', 'csONl9phb0', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (6, 'rmbwfzfhouemap@dmgu.com', 'ZXfmrB', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (7, 'ucqdlpxxs@ceedciqctrovldk.net', 'zMlZeor5ichqnn', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (8, 'becbd@jtmsphwvdrg.net', 'T3tqvD', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (9, 'xvllauot@zspzkyyk.com', 'bHkukmJE_k', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (10, 'bvaqnlba@zfnhvdftug.net', 'Mdw0uanDl4i9MK', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (11, 'etgzphumoijgxs@atzbntcgyvxxbfr.com', '1kyEAu_', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (12, 'blezzhfdg@udfrwrzkrvowixns.com', '8urS46Ed', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (13, 'nhrteuet@smrzhqesitafkzdl.org', 'aApUNnn', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (14, 'pkwoiwtorhaeybg@rawq.org', '68CeA5RcXIHJuQnf', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (15, 'olaa@ggdkmgkztpp.org', '9QFW0z2E88MwFYVk', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (16, 'budomfzc@hykdrypcef.com', 'rcaV0rqcFpG', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (17, 'xabnwlhl@udxbuca.com', 'v4XRD8P', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (18, 'wrrgrmk@hbrr.com', '9nwcUBZa', 0, 0);
INSERT INTO User (uid, email, password, type, version) VALUES (19, 'nkroxcsx@ctjoecacveg.org', 'GoL1OS7CPV', 0, 0);
